subject_id,session_id,run_id,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,m_tsnr,outlier,qc_type,quality,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_fg,summary_p05_bg,summary_p05_fg,summary_p95_bg,summary_p95_fg,summary_stdv_bg,summary_stdv_fg
sub-05,0,task-probabilisticclassification_run-01,15.7616883923,1.17619127749,0.985640242626,0.482081770143,84.3147506714,0.0998886966145,0,0.0,6.22669,5.61367,6.07427,7.07995,0.00976276662615,0.000679152726661,0.021246060729,64.1265258789,0.000539222222222,func,0.00833959316667,180,64,64,30,5.65059580346,2.0,3.125,3.125,5.0,32.7793540955,593.835571289,7.86666679382,383.794464111,143.443331909,747.483337402,57.327583313,107.989952087
sub-05,0,task-probabilisticclassification_run-02,16.9058079114,1.22770689765,0.997063154916,0.482157900765,83.5343704224,0.101558830125,0,0.0,6.17648,5.52523,6.05098,7.04768,0.00999729235967,0.000845213828143,0.0218369085342,67.7808990479,0.000469277777778,func,0.00726705044444,180,64,64,30,5.58816497505,2.0,3.125,3.125,5.0,32.8320617676,592.541137695,7.85555553436,379.449734497,143.405563354,747.234170532,57.6491622925,108.708457947
sub-06,0,task-deterministicclassification_run-01,16.1641598547,1.15533798486,0.981882271006,0.526892248203,67.4730758667,0.084521417581,0,0.0,6.77312,5.92807,6.84136,7.66145,0.0238717397054,-0.00660225842148,0.0423027947545,62.3839950562,0.000486777777778,func,0.0103009830556,180,64,64,30,5.96581781171,2.0,3.125,3.125,5.0,39.8647766113,622.760498047,8.88333320618,411.92862854,180.904452515,771.916409302,65.7981033325,107.307640076
sub-06,0,task-deterministicclassification_run-02,15.8759307755,1.14731518575,0.982376807989,0.526610309351,67.2186737061,0.0796614587698,0,0.0,6.67505,5.80927,6.70895,7.6311,0.0173929068777,-0.00689640408382,0.0423183068633,62.8868560791,0.000594777777778,func,0.0103026125,180,64,64,30,5.93997640843,2.0,3.125,3.125,5.0,39.9045295715,624.668762207,8.87777805328,411.469444275,180.81111145,774.318099976,66.2707366943,108.113075256
sub-06,0,task-mixedeventrelatedprobe_run-01,15.4936945656,1.13175045887,0.983561988225,0.528215233193,66.5609436035,0.0878309445281,0,0.0,6.67855,5.78103,6.7616,7.62064,0.0123264645708,-0.00748275313526,0.0443130582571,63.447517395,0.000531724137931,func,0.0106440086638,232,64,64,30,5.94997432181,2.0,3.125,3.125,5.0,40.9052200317,626.625610352,9.00431060791,413.562283325,182.982757568,776.403662109,66.955696106,108.292655945
sub-06,0,task-mixedeventrelatedprobe_run-02,15.8991124702,1.14984094688,1.00398155636,0.529107524494,64.4973449707,0.100724901824,0,0.0,6.57155,5.70619,6.60732,7.52716,0.0311666768173,-0.00709802424535,0.0456100851297,63.9148254395,0.000699396551724,func,0.00921551443966,232,64,64,30,5.90463163979,2.0,3.125,3.125,5.0,41.132938385,624.967590332,8.95258617401,412.687942505,183.750214386,775.321124268,67.8040924072,108.68737793
sub-06,0,task-probabilisticclassification_run-01,15.7900582904,1.1430499424,0.995204289944,0.525888286771,66.8436660767,0.0715797262089,0,0.0,6.55582,5.66294,6.59388,7.54568,0.0167490508821,-0.00695511093363,0.0419782623649,65.4422912598,0.000495166666667,func,0.00893022733333,180,64,64,30,5.93729108174,2.0,3.125,3.125,5.0,40.2833023071,628.155700684,8.93333339691,418.18112793,182.841119385,780.779992676,67.1921615601,108.750640869
sub-06,0,task-probabilisticclassification_run-02,15.32887892,1.13109890441,0.991983354358,0.527140727617,66.3374938965,0.0840211239441,0,0.0,6.61009,5.73385,6.67398,7.54729,0.0120588752959,-0.00732538104057,0.0437889434397,64.1735229492,0.000485,func,0.00978679066667,180,64,64,30,5.91718538483,2.0,3.125,3.125,5.0,40.4268112183,626.537536621,8.93888950348,412.690292358,181.506109619,777.744445801,67.2169189453,108.858802795
sub-07,0,task-deterministicclassification_run-01,16.334565328,1.18328176615,1.00867821916,0.491797873893,89.3603591919,0.0728516225397,0,0.0,6.11812,5.39776,6.1224,6.92977,0.0254186762704,-0.0120412632823,0.0319056250155,69.1117782593,0.00136105555556,func,0.00690214438889,180,64,64,30,5.56976395446,2.0,3.125,3.125,5.0,34.1150970459,643.197387695,8.07222270966,421.42779541,157.302224731,816.908355713,60.9669876099,117.839683533
sub-07,0,task-deterministicclassification_run-02,16.4118567899,1.20152680693,1.02610759754,0.492802548493,88.1749343872,0.0753480932615,0,0.0,6.10871,5.39763,6.082,6.94384,0.0318644629584,-0.0119465338066,0.0315925069153,67.9658660889,0.002011,func,0.00710672294444,180,64,64,30,5.53917120563,2.0,3.125,3.125,5.0,34.2201843262,641.706176758,8.07777786255,420.867501831,157.193054199,815.822265625,61.2724494934,118.000366211
